i_stim,coupling,heretic_ratio,tau_u,final_entropy,final_gini,mean_doubt,justice_score,system_status
0.0,0.05,0.0,0.1,0.0,0.014918663440222059,0.08179665480701609,0.0,EXTINCT (No Diversity)
0.0,0.05,0.0,1.0,0.0,0.014947423188468596,0.11455537158361137,0.0,EXTINCT (No Diversity)
0.0,0.05,0.0,10.0,0.0,0.014840000544337342,0.07339838709675058,0.0,EXTINCT (No Diversity)
0.0,0.05,0.05,0.1,0.0,0.014918663440222059,0.08179665480701609,0.0,DEAD (Consensus)
0.0,0.05,0.05,1.0,0.0,0.014947423188468596,0.11455537158361137,0.0,DEAD (Consensus)
0.0,0.05,0.05,10.0,0.0,0.014840000544337342,0.07339838709675058,0.0,DEAD (Consensus)
0.0,0.05,0.15,0.1,0.0,0.014918663440222059,0.08179665480701609,0.0,DEAD (Consensus)
0.0,0.05,0.15,1.0,0.0,0.014947423188468596,0.11455537158361137,0.0,DEAD (Consensus)
0.0,0.05,0.15,10.0,0.0,0.014840000544337342,0.07339838709675058,0.0,DEAD (Consensus)
0.0,0.05,0.3,0.1,0.0,0.014918663440222059,0.08179665480701609,0.0,DEAD (Consensus)
0.0,0.05,0.3,1.0,0.0,0.014947423188468596,0.11455537158361137,0.0,DEAD (Consensus)
0.0,0.05,0.3,10.0,0.0,0.014840000544337342,0.07339838709675058,0.0,DEAD (Consensus)
0.0,0.2,0.0,0.1,0.0,0.014918663440222059,0.08179665480701609,0.0,EXTINCT (No Diversity)
0.0,0.2,0.0,1.0,0.0,0.014947423188468596,0.11455537158361137,0.0,EXTINCT (No Diversity)
0.0,0.2,0.0,10.0,0.0,0.014840000544337342,0.07339838709675058,0.0,EXTINCT (No Diversity)
0.0,0.2,0.05,0.1,0.0,0.014918663440222059,0.08179665480701609,0.0,DEAD (Consensus)
0.0,0.2,0.05,1.0,0.0,0.014947423188468596,0.11455537158361137,0.0,DEAD (Consensus)
0.0,0.2,0.05,10.0,0.0,0.014840000544337342,0.07339838709675058,0.0,DEAD (Consensus)
0.0,0.2,0.15,0.1,0.0,0.014918663440222059,0.08179665480701609,0.0,DEAD (Consensus)
0.0,0.2,0.15,1.0,0.0,0.014947423188468596,0.11455537158361137,0.0,DEAD (Consensus)
0.0,0.2,0.15,10.0,0.0,0.014840000544337342,0.07339838709675058,0.0,DEAD (Consensus)
0.0,0.2,0.3,0.1,0.0,0.014918663440222059,0.08179665480701609,0.0,DEAD (Consensus)
0.0,0.2,0.3,1.0,0.0,0.014947423188468596,0.11455537158361137,0.0,DEAD (Consensus)
0.0,0.2,0.3,10.0,0.0,0.014840000544337342,0.07339838709675058,0.0,DEAD (Consensus)
0.0,0.8,0.0,0.1,0.0,0.014918663440222059,0.08179665480701609,0.0,EXTINCT (No Diversity)
0.0,0.8,0.0,1.0,0.0,0.014947423188468596,0.11455537158361137,0.0,EXTINCT (No Diversity)
0.0,0.8,0.0,10.0,0.0,0.014840000544337342,0.07339838709675058,0.0,EXTINCT (No Diversity)
0.0,0.8,0.05,0.1,0.0,0.014918663440222059,0.08179665480701609,0.0,DEAD (Consensus)
0.0,0.8,0.05,1.0,0.0,0.014947423188468596,0.11455537158361137,0.0,DEAD (Consensus)
0.0,0.8,0.05,10.0,0.0,0.014840000544337342,0.07339838709675058,0.0,DEAD (Consensus)
0.0,0.8,0.15,0.1,0.0,0.014918663440222059,0.08179665480701609,0.0,DEAD (Consensus)
0.0,0.8,0.15,1.0,0.0,0.014947423188468596,0.11455537158361137,0.0,DEAD (Consensus)
0.0,0.8,0.15,10.0,0.0,0.014840000544337342,0.07339838709675058,0.0,DEAD (Consensus)
0.0,0.8,0.3,0.1,0.0,0.014918663440222059,0.08179665480701609,0.0,DEAD (Consensus)
0.0,0.8,0.3,1.0,0.0,0.014947423188468596,0.11455537158361137,0.0,DEAD (Consensus)
0.0,0.8,0.3,10.0,0.0,0.014840000544337342,0.07339838709675058,0.0,DEAD (Consensus)
1.1,0.05,0.0,0.1,2.1737843536214405,0.3386714609995025,0.6948355129460266,0.9988855490991871,EXTINCT (No Diversity)
1.1,0.05,0.0,1.0,2.1723412939390725,0.33355927659692053,0.662124174088778,0.9585814690441093,EXTINCT (No Diversity)
1.1,0.05,0.0,10.0,2.1084135173963223,0.30801807000030457,0.18360458456493212,0.26787616130611797,EXTINCT (No Diversity)
1.1,0.05,0.05,0.1,2.191009502236036,0.32078215852281183,0.7169646219707896,1.0669672093775049,ALIVE (Justice)
1.1,0.05,0.05,1.0,2.162703636299181,0.3200338769812064,0.7231279734503506,1.0634068378292814,ALIVE (Justice)
1.1,0.05,0.05,10.0,2.0964219926276386,0.30645643033096054,0.2086361617381187,0.3033486321141843,ALIVE (Justice)
1.1,0.05,0.15,0.1,2.1385514576677713,0.29459342427612667,0.7137241835277492,1.0766873757250788,ALIVE (Justice)
1.1,0.05,0.15,1.0,2.1554793695194427,0.3070992800174261,0.7826902120183543,1.1689738224805435,ALIVE (Justice)
1.1,0.05,0.15,10.0,2.0640241291177155,0.3128108959460302,0.24131063909949746,0.34226895167944826,ALIVE (Justice)
1.1,0.05,0.3,0.1,1.9556888540540038,0.2449137363857364,0.6498537768260835,0.9596480334625225,ALIVE (Justice)
1.1,0.05,0.3,1.0,1.9733842243916753,0.27174270365817776,0.78711460169078,1.1311871566357576,ALIVE (Justice)
1.1,0.05,0.3,10.0,1.885562017870061,0.2917934343314469,0.2544287502663238,0.339755858990661,ALIVE (Justice)
1.1,0.2,0.0,0.1,2.1737843536214405,0.3386714609995025,0.6948355129460266,0.9988855490991871,EXTINCT (No Diversity)
1.1,0.2,0.0,1.0,2.1723412939390725,0.33355927659692053,0.662124174088778,0.9585814690441093,EXTINCT (No Diversity)
1.1,0.2,0.0,10.0,2.1084135173963223,0.30801807000030457,0.18360458456493212,0.26787616130611797,EXTINCT (No Diversity)
1.1,0.2,0.05,0.1,2.191009502236036,0.32078215852281183,0.7169646219707896,1.0669672093775049,ALIVE (Justice)
1.1,0.2,0.05,1.0,2.162703636299181,0.3200338769812064,0.7231279734503506,1.0634068378292814,ALIVE (Justice)
1.1,0.2,0.05,10.0,2.0964219926276386,0.30645643033096054,0.2086361617381187,0.3033486321141843,ALIVE (Justice)
1.1,0.2,0.15,0.1,2.1385514576677713,0.29459342427612667,0.7137241835277492,1.0766873757250788,ALIVE (Justice)
1.1,0.2,0.15,1.0,2.1554793695194427,0.3070992800174261,0.7826902120183543,1.1689738224805435,ALIVE (Justice)
1.1,0.2,0.15,10.0,2.0640241291177155,0.3128108959460302,0.24131063909949746,0.34226895167944826,ALIVE (Justice)
1.1,0.2,0.3,0.1,1.9556888540540038,0.2449137363857364,0.6498537768260835,0.9596480334625225,ALIVE (Justice)
1.1,0.2,0.3,1.0,1.9733842243916753,0.27174270365817776,0.78711460169078,1.1311871566357576,ALIVE (Justice)
1.1,0.2,0.3,10.0,1.885562017870061,0.2917934343314469,0.2544287502663238,0.339755858990661,ALIVE (Justice)
1.1,0.8,0.0,0.1,2.1737843536214405,0.3386714609995025,0.6948355129460266,0.9988855490991871,EXTINCT (No Diversity)
1.1,0.8,0.0,1.0,2.1723412939390725,0.33355927659692053,0.662124174088778,0.9585814690441093,EXTINCT (No Diversity)
1.1,0.8,0.0,10.0,2.1084135173963223,0.30801807000030457,0.18360458456493212,0.26787616130611797,EXTINCT (No Diversity)
1.1,0.8,0.05,0.1,2.191009502236036,0.32078215852281183,0.7169646219707896,1.0669672093775049,ALIVE (Justice)
1.1,0.8,0.05,1.0,2.162703636299181,0.3200338769812064,0.7231279734503506,1.0634068378292814,ALIVE (Justice)
1.1,0.8,0.05,10.0,2.0964219926276386,0.30645643033096054,0.2086361617381187,0.3033486321141843,ALIVE (Justice)
1.1,0.8,0.15,0.1,2.1385514576677713,0.29459342427612667,0.7137241835277492,1.0766873757250788,ALIVE (Justice)
1.1,0.8,0.15,1.0,2.1554793695194427,0.3070992800174261,0.7826902120183543,1.1689738224805435,ALIVE (Justice)
1.1,0.8,0.15,10.0,2.0640241291177155,0.3128108959460302,0.24131063909949746,0.34226895167944826,ALIVE (Justice)
1.1,0.8,0.3,0.1,1.9556888540540038,0.2449137363857364,0.6498537768260835,0.9596480334625225,ALIVE (Justice)
1.1,0.8,0.3,1.0,1.9733842243916753,0.27174270365817776,0.78711460169078,1.1311871566357576,ALIVE (Justice)
1.1,0.8,0.3,10.0,1.885562017870061,0.2917934343314469,0.2544287502663238,0.339755858990661,ALIVE (Justice)
2.5,0.05,0.0,0.1,0.0,0.004076481316222844,0.060510142679257674,0.0,EXTINCT (No Diversity)
2.5,0.05,0.0,1.0,0.0,0.0040767973010735195,0.0666587353658341,0.0,EXTINCT (No Diversity)
2.5,0.05,0.0,10.0,0.0,0.004076199907235753,0.05589091825280572,0.0,EXTINCT (No Diversity)
2.5,0.05,0.05,0.1,0.28639695711595625,0.020951965309592528,0.25791011546136816,0.07231706222639692,DEAD (Consensus)
2.5,0.05,0.05,1.0,0.28639695711595625,0.02095005377385962,0.2584916694202873,0.07248026936342954,DEAD (Consensus)
2.5,0.05,0.05,10.0,0.28639695711595625,0.02068258766775224,0.12338293541109678,0.03460564705928478,DEAD (Consensus)
2.5,0.05,0.15,0.1,0.6098403047164004,0.04739256818285281,0.5211521934535086,0.3027573248059825,DEAD (Consensus)
2.5,0.05,0.15,1.0,0.6098403047164004,0.04739346490702777,0.516725611686149,0.3001854708720194,DEAD (Consensus)
2.5,0.05,0.15,10.0,0.6098403047164004,0.04688901100655608,0.23053474278591884,0.13399728090576213,DEAD (Consensus)
2.5,0.05,0.3,0.1,0.8414646362081757,0.0676132055612063,0.6810678382843814,0.534345744488155,DEAD (Consensus)
2.5,0.05,0.3,1.0,0.8414646362081757,0.06761682381325912,0.6735326574707651,0.5284318131396896,DEAD (Consensus)
2.5,0.05,0.3,10.0,0.8414646362081757,0.06751299796623823,0.3029043117743925,0.2376753330593981,DEAD (Consensus)
2.5,0.2,0.0,0.1,0.0,0.004076481316222844,0.060510142679257674,0.0,EXTINCT (No Diversity)
2.5,0.2,0.0,1.0,0.0,0.0040767973010735195,0.0666587353658341,0.0,EXTINCT (No Diversity)
2.5,0.2,0.0,10.0,0.0,0.004076199907235753,0.05589091825280572,0.0,EXTINCT (No Diversity)
2.5,0.2,0.05,0.1,0.28639695711595625,0.020951965309592528,0.25791011546136816,0.07231706222639692,DEAD (Consensus)
2.5,0.2,0.05,1.0,0.28639695711595625,0.02095005377385962,0.2584916694202873,0.07248026936342954,DEAD (Consensus)
2.5,0.2,0.05,10.0,0.28639695711595625,0.02068258766775224,0.12338293541109678,0.03460564705928478,DEAD (Consensus)
2.5,0.2,0.15,0.1,0.6098403047164004,0.04739256818285281,0.5211521934535086,0.3027573248059825,DEAD (Consensus)
2.5,0.2,0.15,1.0,0.6098403047164004,0.04739346490702777,0.516725611686149,0.3001854708720194,DEAD (Consensus)
2.5,0.2,0.15,10.0,0.6098403047164004,0.04688901100655608,0.23053474278591884,0.13399728090576213,DEAD (Consensus)
2.5,0.2,0.3,0.1,0.8414646362081757,0.0676132055612063,0.6810678382843814,0.534345744488155,DEAD (Consensus)
2.5,0.2,0.3,1.0,0.8414646362081757,0.06761682381325912,0.6735326574707651,0.5284318131396896,DEAD (Consensus)
2.5,0.2,0.3,10.0,0.8414646362081757,0.06751299796623823,0.3029043117743925,0.2376753330593981,DEAD (Consensus)
2.5,0.8,0.0,0.1,0.0,0.004076481316222844,0.060510142679257674,0.0,EXTINCT (No Diversity)
2.5,0.8,0.0,1.0,0.0,0.0040767973010735195,0.0666587353658341,0.0,EXTINCT (No Diversity)
2.5,0.8,0.0,10.0,0.0,0.004076199907235753,0.05589091825280572,0.0,EXTINCT (No Diversity)
2.5,0.8,0.05,0.1,0.28639695711595625,0.020951965309592528,0.25791011546136816,0.07231706222639692,DEAD (Consensus)
2.5,0.8,0.05,1.0,0.28639695711595625,0.02095005377385962,0.2584916694202873,0.07248026936342954,DEAD (Consensus)
2.5,0.8,0.05,10.0,0.28639695711595625,0.02068258766775224,0.12338293541109678,0.03460564705928478,DEAD (Consensus)
2.5,0.8,0.15,0.1,0.6098403047164004,0.04739256818285281,0.5211521934535086,0.3027573248059825,DEAD (Consensus)
2.5,0.8,0.15,1.0,0.6098403047164004,0.04739346490702777,0.516725611686149,0.3001854708720194,DEAD (Consensus)
2.5,0.8,0.15,10.0,0.6098403047164004,0.04688901100655608,0.23053474278591884,0.13399728090576213,DEAD (Consensus)
2.5,0.8,0.3,0.1,0.8414646362081757,0.0676132055612063,0.6810678382843814,0.534345744488155,DEAD (Consensus)
2.5,0.8,0.3,1.0,0.8414646362081757,0.06761682381325912,0.6735326574707651,0.5284318131396896,DEAD (Consensus)
2.5,0.8,0.3,10.0,0.8414646362081757,0.06751299796623823,0.3029043117743925,0.2376753330593981,DEAD (Consensus)
5.0,0.05,0.0,0.1,0.0,0.0015898839591343362,0.05625172246435769,0.0,EXTINCT (No Diversity)
5.0,0.05,0.0,1.0,0.0,0.0015899116190613443,0.05943683011362429,0.0,EXTINCT (No Diversity)
5.0,0.05,0.0,10.0,0.0,0.001589859297181164,0.053273562676113044,0.0,EXTINCT (No Diversity)
5.0,0.05,0.05,0.1,0.28639695711595625,0.00851823164175845,0.2545246427256058,0.07227414598350186,DEAD (Consensus)
5.0,0.05,0.05,1.0,0.28639695711595625,0.008518359232147568,0.2570522608435286,0.07299187236205601,DEAD (Consensus)
5.0,0.05,0.05,10.0,0.28639695711595625,0.008429171307007936,0.14078666646458685,0.03998100133322033,DEAD (Consensus)
5.0,0.05,0.15,0.1,0.6098403047164004,0.019750715575046665,0.518955604438544,0.3102293366119478,DEAD (Consensus)
5.0,0.05,0.15,1.0,0.6098403047164004,0.019750790758379284,0.5205407582578584,0.31117691060060587,DEAD (Consensus)
5.0,0.05,0.15,10.0,0.6098403047164004,0.019570647972466933,0.2823176170559602,0.16879920934391138,DEAD (Consensus)
5.0,0.05,0.3,0.1,0.8414646362081757,0.028796134956682228,0.6795137751107011,0.5553215613794927,DEAD (Consensus)
5.0,0.05,0.3,1.0,0.8414646362081757,0.028796097573601225,0.6804992263377071,0.556126926744941,DEAD (Consensus)
5.0,0.05,0.3,10.0,0.8414646362081757,0.028799676554626005,0.37666487732162124,0.30782211147362903,DEAD (Consensus)
5.0,0.2,0.0,0.1,0.0,0.0015898839591343362,0.05625172246435769,0.0,EXTINCT (No Diversity)
5.0,0.2,0.0,1.0,0.0,0.0015899116190613443,0.05943683011362429,0.0,EXTINCT (No Diversity)
5.0,0.2,0.0,10.0,0.0,0.001589859297181164,0.053273562676113044,0.0,EXTINCT (No Diversity)
5.0,0.2,0.05,0.1,0.28639695711595625,0.00851823164175845,0.2545246427256058,0.07227414598350186,DEAD (Consensus)
5.0,0.2,0.05,1.0,0.28639695711595625,0.008518359232147568,0.2570522608435286,0.07299187236205601,DEAD (Consensus)
5.0,0.2,0.05,10.0,0.28639695711595625,0.008429171307007936,0.14078666646458685,0.03998100133322033,DEAD (Consensus)
5.0,0.2,0.15,0.1,0.6098403047164004,0.019750715575046665,0.518955604438544,0.3102293366119478,DEAD (Consensus)
5.0,0.2,0.15,1.0,0.6098403047164004,0.019750790758379284,0.5205407582578584,0.31117691060060587,DEAD (Consensus)
5.0,0.2,0.15,10.0,0.6098403047164004,0.019570647972466933,0.2823176170559602,0.16879920934391138,DEAD (Consensus)
5.0,0.2,0.3,0.1,0.8414646362081757,0.028796134956682228,0.6795137751107011,0.5553215613794927,DEAD (Consensus)
5.0,0.2,0.3,1.0,0.8414646362081757,0.028796097573601225,0.6804992263377071,0.556126926744941,DEAD (Consensus)
5.0,0.2,0.3,10.0,0.8414646362081757,0.028799676554626005,0.37666487732162124,0.30782211147362903,DEAD (Consensus)
5.0,0.8,0.0,0.1,0.0,0.0015898839591343362,0.05625172246435769,0.0,EXTINCT (No Diversity)
5.0,0.8,0.0,1.0,0.0,0.0015899116190613443,0.05943683011362429,0.0,EXTINCT (No Diversity)
5.0,0.8,0.0,10.0,0.0,0.001589859297181164,0.053273562676113044,0.0,EXTINCT (No Diversity)
5.0,0.8,0.05,0.1,0.28639695711595625,0.00851823164175845,0.2545246427256058,0.07227414598350186,DEAD (Consensus)
5.0,0.8,0.05,1.0,0.28639695711595625,0.008518359232147568,0.2570522608435286,0.07299187236205601,DEAD (Consensus)
5.0,0.8,0.05,10.0,0.28639695711595625,0.008429171307007936,0.14078666646458685,0.03998100133322033,DEAD (Consensus)
5.0,0.8,0.15,0.1,0.6098403047164004,0.019750715575046665,0.518955604438544,0.3102293366119478,DEAD (Consensus)
5.0,0.8,0.15,1.0,0.6098403047164004,0.019750790758379284,0.5205407582578584,0.31117691060060587,DEAD (Consensus)
5.0,0.8,0.15,10.0,0.6098403047164004,0.019570647972466933,0.2823176170559602,0.16879920934391138,DEAD (Consensus)
5.0,0.8,0.3,0.1,0.8414646362081757,0.028796134956682228,0.6795137751107011,0.5553215613794927,DEAD (Consensus)
5.0,0.8,0.3,1.0,0.8414646362081757,0.028796097573601225,0.6804992263377071,0.556126926744941,DEAD (Consensus)
5.0,0.8,0.3,10.0,0.8414646362081757,0.028799676554626005,0.37666487732162124,0.30782211147362903,DEAD (Consensus)
